,date,total,price,condition,movement,case material,band material,model,listingType,start,url
26,2019-04-24,4576.0,4500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-04-22,http://www.ebay.com/itm/pre-owned-slightly-used-18-men-s-rolex-oyster-perpetual-black-dial-39mm-/143224990607
27,2019-04-24,9611.0,9611.0,pre-owned,Mechanical (Automatic),Stainless Steel,NULL,Rolex Submariner,Auction,2019-04-17,http://www.ebay.com/itm/vintage-rolex-submariner-5513-stunning-meters-first-dial-and-rivet-bracelet-/123738127278
28,2019-04-24,6500.0,6500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-21,http://www.ebay.com/itm/rolex-mens-steel-submariner-black-dial-bezel-16610-box-books-/183783127547
29,2019-04-24,3077.0,3051.0,pre-owned,Mechanical (Automatic),NULL,Genuine Leather,Datejust,Auction,2019-04-17,http://www.ebay.com/itm/rolex-womens-automatic-diamond-dial-ss-gold-datejust-watch-ref-79173-c-2000-/183764313413
30,2019-04-24,7600.0,7600.0,pre-owned,AUTOMATIC,"Gold, 18k yellow gold",Yellow Gold,Rolex President,Auction,2019-04-17,http://www.ebay.com/itm/rolex-vintage-18k-yellow-gold-day-date-1806-morellis-watch-papers-buy-now-/153454573448
31,2019-04-24,3015.0,2950.0,pre-owned,Quartz (Battery),Gold,NULL,Rolex Cellini,FixedPrice,2019-03-29,http://www.ebay.com/itm/rolex-cellini-5112-18k-yellow-gold-/303111321479
32,2019-04-24,9000.0,9000.0,pre-owned,Mechanical (Automatic),NULL,Steel,GMT Master,Auction,2019-04-17,http://www.ebay.com/itm/vintage-1984-rolex-gmt-master-16750-mint-cond-orig-owner-black-pepsi-bezels-/173875267242
33,2019-04-24,8855.0,8800.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-03-25,http://www.ebay.com/itm/mens-rolex-submariner-116610-ceramic-bezel-insert-stainless-steel-g-serial-/264254639255
34,2019-04-24,5799.0,5799.0,pre-owned,Mechanical (Automatic),NULL,NULL,Tudor Oyster,StoreInventory,2019-03-24,http://www.ebay.com/itm/1940-epic-art-deco-vintage-rolex-arcade-diamond-designs-dial-prince-sz-21x45mm-/293019659058
35,2019-04-24,10600.0,10600.0,pre-owned,Automatic Winding Movement Caliber 3135 - Quickset,Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-submariner-stainless-gold-blue-ceramic-dial-40mm-perfect-condition-/323787178289
36,2019-04-23,3400.0,3400.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-04-23,http://www.ebay.com/itm/rolex-2002-datejust-ladies-18k-gold-stainless-ref-79173-automatic-swiss-watch-/283460371933
37,2019-04-23,3150.0,3150.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-datejust-mens-steel-watch-18k-white-gold-bezel-silver-diamond-dial-1601-/362623141280
38,2019-04-23,6600.0,6600.0,pre-owned,Automatic Self Wind,Stainless Steel,Stainless Steel,NULL,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-explorer-ii-216570-oyster-automatic-white-dial-/333167319544
39,2019-04-23,5200.0,5200.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Oyster Perpetual,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-stainless-datejust-/254209469837
40,2019-04-23,6224.0,6199.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-22,http://www.ebay.com/itm/rolex-216570bkso-explorer-ii-oyster-automatic-wristwatch-men-white-/283460196987
41,2019-04-23,7800.0,7800.0,pre-owned,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,NULL,FixedPrice,2019-04-23,http://www.ebay.com/itm/gents-18k-rolex-president-day-date-slate-all-diamond-pleiade-dial-watch-/223492423457
42,2019-04-23,7995.0,7995.0,pre-owned,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,NULL,FixedPrice,2019-04-23,http://www.ebay.com/itm/gents-18k-rolex-president-day-date-slate-all-diamond-pleiade-dial-watch-/223492404555
43,2019-04-23,4208.0,4200.0,new with tags,NULL,NULL,NULL,NULL,Auction,2019-04-23,http://www.ebay.com/itm/rolex-day-date-wristwatch-/163662330410
44,2019-04-23,10213.0,10213.0,pre-owned,NULL,Gold,NULL,NULL,Auction,2019-04-23,http://www.ebay.com/itm/immaculate-rolex-diamond-datejust-41-womens-18ct-everose-gold-watch-/192896846284
45,2019-04-23,5500.0,5500.0,pre-owned,Automatic,Stainless Steel,"Yellow Gold, Stainless Steel",Rolex Datejust,StoreInventory,2019-02-07,http://www.ebay.com/itm/rolex-datejust-31mm-s-s-jubilee-womens-watch-mop-diamond-dial-diamond-bezel-/254113323705
46,2019-04-23,3400.0,3400.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,2018-04-25,http://www.ebay.com/itm/rolex-air-king-114200-oyster-perpetual-no-holes-case-stainless-steel-mens-watch-/132597764542
47,2019-04-23,8650.0,8600.0,pre-owned,NULL,NULL,NULL,Rolex Deepsea,Auction,2019-04-21,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-/123742924675
48,2019-04-23,4502.0,4502.0,manufacturer refurbished,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,2019-04-16,http://www.ebay.com/itm/rolex-oyster-perpetual-39-blue-114300-like-new-warranty-original-box-papers-/183777123733
49,2019-04-23,4500.0,4500.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/women-s-stainless-steel-rolex-watch-diamond-hour-markers-excellent-condition-/153454169106
50,2019-04-23,5580.0,5550.0,pre-owned,NULL,NULL,NULL,NULL,StoreInventory,2019-04-23,http://www.ebay.com/itm/stunning-circa-2005-rolex-16600-t-sea-dweller-stainless-stell-amazing-watch-/264295582640
51,2019-04-23,6528.0,6478.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-21,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163659692636
52,2019-04-23,8900.0,8900.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-01-17,http://www.ebay.com/itm/rolex-submariner-116610-stainless-steel-black-/143094038100
53,2019-04-23,5350.0,5300.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-22,http://www.ebay.com/itm/2015-rolex-datejust-116234-36mm-jubilee-black-concentric-dial-/183784317754
54,2019-04-23,10140.0,10140.0,pre-owned,NULL,Stainless Steel,NULL,Rolex GMT-Master II,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-gmt-master-ii-16710t-2007-/264294769438
55,2019-04-23,6250.0,6250.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-17,http://www.ebay.com/itm/1991-40mm-rolex-submariner-16610-stainless-steel-automatic-mens-watch-/163654239036
56,2019-04-23,3100.0,3100.0,pre-owned,NULL,NULL,NULL,Rolex Oyster Perpetual,StoreInventory,2019-04-16,http://www.ebay.com/itm/1981-rolex-oyster-perpetual-datejust-16013-18k-gold-stainless-wristwatch-/283454141898
57,2019-04-23,11057.0,11057.0,pre-owned,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction,2019-04-16,http://www.ebay.com/itm/vintage-1985-rolex-gmt-master-16750-pepsi-patina-gloss-dial-serviced-/264286072011
58,2019-04-23,7301.0,7301.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-mens-18kt-gold-daydate-bark-president-champagne-stick-18078-sant-blanc-/183776954504
59,2019-04-23,9000.0,8950.0,new without tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,StoreInventory,2019-04-13,http://www.ebay.com/itm/rolex-submariner-116610ln-2015-/113717251582
60,2019-04-23,5040.0,5040.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-datejust-18k-gold-stainless-steel-2tone-mens-16013-pinstripe-watch-rare-/323779853568
61,2019-04-23,7395.0,7395.0,new with tags,Automatic,Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,2019-04-11,http://www.ebay.com/itm/brand-new-rolex-126300-datejust-41mm-white-dial-jubilee-band-box-papers-/283448614255
62,2019-04-23,6601.0,6601.0,pre-owned,NULL,NULL,NULL,Rolex Submariner,Auction,2019-04-22,http://www.ebay.com/itm/rolex-submariner-16610-men-s-stainless-steel-black-face-and-bezel-/254207865036
63,2019-04-23,6500.0,6500.0,pre-owned,NULL,NULL,NULL,Rolex Yacht-Master,Auction,2019-04-22,http://www.ebay.com/itm/mens-preowned-rolex-explorer-ii-42mm-watch-mint-condition-/362628084167
64,2019-04-23,6999.0,6999.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-datejust-36mm-two-tone-18k-rose-gold-steel-ref-116201-black-dial-/254201408704
65,2019-04-23,3200.0,3200.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-04-22,http://www.ebay.com/itm/rolex-datejust-stainless-steel-men-watch-w-silver-dial-/323786124144
66,2019-04-23,4995.0,4995.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-oyster-perpetual-39-2018-114300-rare-black-dial-/303127510048
67,2019-04-23,4700.0,4700.0,pre-owned,Mechanical (Automatic),Stainless Steel,NULL,Rolex GMT-Master,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-gmt-1675-stainless-and-gold-two-bezel-inserts-/153460958388
68,2019-04-23,8797.0,8797.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2019-04-20,http://www.ebay.com/itm/2018-rolex-submariner-date-116610-ln-stainless-black-dive-ceramic-40mm-watch-box-/303131827426
69,2019-04-23,6452.0,6452.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-18,http://www.ebay.com/itm/rolex-submariner-14060m-includes-all-papers-original-box-/133025838699
70,2019-04-23,8895.0,8895.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,NULL,FixedPrice,2019-04-02,http://www.ebay.com/itm/rare-spider-16750-rolex-gmt-master-pepsi-jubilee-blue-red-steel-watch-n8-/283438888819
71,2019-04-23,5800.0,5800.0,pre-owned,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,NULL,StoreInventory,2019-04-16,http://www.ebay.com/itm/rolex-69178-ladies-18k-yellow-gold-datejust-president-1-20-carat-diamond-bezel-/273808401965
72,2019-04-23,3200.0,3190.0,pre-owned,Mechanical (Automatic),NULL,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-oyster-s-sap-39137-71-red-grape-dial-/123744013282
73,2019-04-23,3340.0,3300.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-16,http://www.ebay.com/itm/rolex-watch-mens-36mm-datejust-116233-two-tone-silver-dial-stick-markers-new-/323779225418
74,2019-04-23,3245.0,3200.0,pre-owned,Mechanical (Automatic),Stainless Steel,White Gold,Rolex Datejust,Auction,2019-04-13,http://www.ebay.com/itm/1970-rolex-1603-datejust-stainless-steel-black-dial-engine-turned-bezel-no-res-/293046530511
75,2019-04-23,4010.0,4000.0,pre-owned,Mechanical (Automatic),NULL,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-oyster-s-sap-39137-71-red-grape-dial-/123743990924
76,2019-04-23,6598.0,6550.0,pre-owned,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",ROLEX DATE,Auction,2019-04-13,http://www.ebay.com/itm/rolex-submariner-date-ref-168000-vintage-watch-100-genuine-cal-3035-/312568820111
77,2019-04-22,3350.0,3350.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,Auction,2019-04-15,http://www.ebay.com/itm/rolex-datejust-16200-silver-dial-2003-excellent-36mm-free-shipping-/333158899159
78,2019-04-22,8400.0,8400.0,pre-owned,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,2019-04-20,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/392280728668
79,2019-04-22,3025.0,3000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-15,http://www.ebay.com/itm/rolex-mens-oyster-perpetual-datejust-jubilee-band-18k-gold-ss-quickset-/323779185651
80,2019-04-22,5800.0,5800.0,pre-owned,Automatic Self Wind,Yellow Gold,Yellow Gold,Date,StoreInventory,2019-03-23,http://www.ebay.com/itm/rolex-date-vintage-14k-solid-gold-ref-1500-mens-34mm-watch-box-papers-/293019176327
81,2019-04-22,5500.0,5500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2019-01-22,http://www.ebay.com/itm/rolex-216570-explorer-ii-stainless-steel-black-dial-series-max078865-/382745380841
82,2019-04-22,4025.0,4000.0,pre-owned,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Oyster Perpetual,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-oyster-perpetual-18k-yellow-gold-stainless-steel-wide-fluted-bezel-/273817303722
83,2019-04-22,8600.0,8600.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-datejust-ii-116333-18k-gold-stainless-steel-mens-quickset-watch-box-/392276242494
84,2019-04-22,5500.0,5500.0,new with tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,2019-04-22,http://www.ebay.com/itm/mens-rolex-datejust-ii-stainless-steel-w-white-dial-116300-/273817579015
85,2019-04-22,7000.0,7000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,2019-04-15,http://www.ebay.com/itm/mens-preowned-rolex-explorer-ii-42mm-watch-mint-condition-/362622372154
86,2019-04-22,3045.0,3000.0,pre-owned,Mechanical (Automatic),Steel,NULL,Rolex Oyster Perpetual,StoreInventory,2019-04-01,http://www.ebay.com/itm/stunning-1982-rolex-oyster-perpetual-rolex-bracelet-gents-vintage-watch-/183756604374
87,2019-04-22,5500.0,5500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-submariner-16610-oyster-perpetual-date-w-box-papers-1998-/323786008315
88,2019-04-22,3888.0,3888.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King,FixedPrice,2019-04-01,http://www.ebay.com/itm/rolex-oyster-perpetual-auto-34mm-steel-mens-bracelet-watch-114200-/293030927945
89,2019-04-22,6900.0,6900.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-03-06,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-black-dial-16610t-/264227493885
90,2019-04-22,6900.0,6850.0,pre-owned,NULL,Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,2019-04-13,http://www.ebay.com/itm/rolex-explorer-ii-216570-white-dial-/113717356496
91,2019-04-22,5750.0,5700.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,116900,StoreInventory,2019-04-12,http://www.ebay.com/itm/rolex-air-king-116900-stainless-steel-automatic-mens-watch-40mm-/113715889888
92,2019-04-22,11050.0,11000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,StoreInventory,2019-04-18,http://www.ebay.com/itm/rolex-gmt-master-pepsi-vintage-auto-steel-mens-riveted-bracelet-watch-date-1675-/163655324317
93,2019-04-22,7650.0,7580.0,pre-owned,Mechanical (Automatic),NULL,NULL,Rolex Submariner,StoreInventory,2019-04-05,http://www.ebay.com/itm/mint-rolex-submariner-14060a-stainless-steel-black-dial-full-set-mint-2000-/163635849824
94,2019-04-22,9600.0,9600.0,pre-owned,Quartz (Battery),Gold,Gold,Quartz,StoreInventory,2019-04-22,http://www.ebay.com/itm/7016-0-tudor-rolex-submariner-prince-1968-restore-runs-strong-cool-orig-dial-/333167139670
95,2019-04-22,7500.0,7500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-05,http://www.ebay.com/itm/rolex-2006-submariner-box-papers-black-no-holes-oyster-16610-40mm-steel-/192881200489
96,2019-04-22,3500.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,FixedPrice,2019-04-03,http://www.ebay.com/itm/mens-36mm-rolex-datejust-16234-jubilee-bracelet-18kt-wg-bezel-silver-dial-1991-/173861303960
97,2019-04-22,12050.0,12000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-19,http://www.ebay.com/itm/vintage-rolex-1675-gmt-master-1968-/123739989801
98,2019-04-22,4011.0,4000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Daytona,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-daytona-116520-wrist-watch-men-/192895819788
99,2019-04-22,8601.0,8601.0,pre-owned,NULL,NULL,Rose Gold,NULL,Auction,2019-04-19,http://www.ebay.com/itm/rolex-submariner-116610ln-/312578743615
100,2019-04-22,9900.0,9800.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2019-04-21,http://www.ebay.com/itm/2019-rolex-submariner-date-ceramic-stainless-steel-automatic-watch-116610ln-/273816160058
101,2019-04-22,5778.0,5778.0,pre-owned,Mechanical (Hand-winding),Rose Gold,NULL,Rolex Prince Brancard Doctors Watch,Auction,2019-04-15,http://www.ebay.com/itm/rolex-prince-brancard-doctors-watch-14k-yellow-gold-original-box-/273807759874
102,2019-04-22,5405.0,5375.0,new with tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,2019-04-09,http://www.ebay.com/itm/new-rolex-oyster-perpetual-39-mm-dark-rhodium-steel-mens-watch-ref-114300-2018-/163642126006
103,2019-04-22,5032.0,5000.0,new with tags,NULL,NULL,NULL,NULL,StoreInventory,2019-04-01,http://www.ebay.com/itm/rolex-lady-datejust-279174-2019-unworn-box-and-papers-/283437234909
104,2019-04-22,7869.0,7835.0,pre-owned,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory,2019-04-17,http://www.ebay.com/itm/rolex-15037-14k-gold-date-1987-near-mint-condition-/123738672986
105,2019-04-22,6450.0,6450.0,new with tags,NULL,NULL,NULL,NULL,Auction,2019-04-17,http://www.ebay.com/itm/rolex-datejust-116200-jubilee-bracelet-silver-floral-motif-dial-/173875713920
106,2019-04-22,8117.0,7999.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-burl-wood-dial-president-ref-18038-single-quick-set-day-date-watch-head-/254197357351
107,2019-04-22,6975.0,6975.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2019-04-13,http://www.ebay.com/itm/gentlemens-two-tone-blue-rolex-submariner-16613-wristwatch-/123734456100
108,2019-04-22,3200.0,3200.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-22,http://www.ebay.com/itm/genuine-mens-rolex-oyster-perpetual-datejust-/173880445464
109,2019-04-22,7500.0,7500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-watch-datejust-/273816745066
110,2019-04-22,3750.0,3750.0,pre-owned,NULL,Stainless Steel,Polyurethane,Invicta Pro Diver,FixedPrice,2019-04-22,http://www.ebay.com/itm/rolex-submariner-116610-wrist-watch-men-/293059595183
111,2019-04-22,3850.0,3850.0,pre-owned,Mechanical (Hand-winding),Gold Plated,Leather,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-vintage-mens-wrist-watch-gold-mechanical-noble-design-mens-wristwatch-/143209540968
112,2019-04-22,7250.0,7250.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Sea-Dweller,StoreInventory,2019-02-15,http://www.ebay.com/itm/rolex-sea-dweller-16660-triple-6-vintage-1984-steel-pre-owned-near-mint-8-3-mill-/132954288843
113,2019-04-22,3725.0,3700.0,pre-owned,Mechanical (Hand-winding),Stainless Steel,Leather,Oysterdate Precision,Auction,2019-04-12,http://www.ebay.com/itm/rolex-6694-oman-model-vintage-hand-winding-watch-1966-running-good-cal-1225-/113715989520
114,2019-04-22,6410.0,6310.0,pre-owned,Mechanical (Automatic),Gold,Gold,Rolex President,Auction,2019-04-15,http://www.ebay.com/itm/rolex-ladies-president-18k-datejust-rolex-diamond-bezel-dial-1999-mfg-/183774987428
115,2019-04-22,6129.0,6080.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-15,http://www.ebay.com/itm/rolex-mens-18k-yellow-gold-day-date-president-18038-diamond-dial-bezel-watch-/143213787017
116,2019-04-22,11999.0,11999.0,new with tags,NULL,NULL,NULL,Rolex Submariner Date,StoreInventory,2019-04-15,http://www.ebay.com/itm/brand-new-rolex-ceramic-submariner-116610ln-box-papers-100-authentic-/133023027439
117,2019-04-22,7105.0,7105.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-submariner-5513-40mm-stainless-steel-mens-watch-1965-serial-vintage-/273803199779
118,2019-04-22,10700.0,10700.0,pre-owned,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction,2019-04-12,http://www.ebay.com/itm/rolex-submariner-116613-40mm-stainless-steel-yellow-gold-ceramic-watch-/273803199774
119,2019-04-22,3004.0,3000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory,2019-03-22,http://www.ebay.com/itm/mens-stainless-steel-18k-gold-rolex-datejust-36-watch-white-roman-face-16233-/123703033649
120,2019-04-22,6500.0,6500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-datejust-18k-gold-stainless-steel-jubilee-bracelet-watch-/223489063239
121,2019-04-22,2845.0,2800.0,pre-owned,Mechanical (Automatic),Steel,NULL,Rolex Oyster Perpetual,StoreInventory,2018-08-25,http://www.ebay.com/itm/just-beautiful-1971-rolex-oyster-perpetual-date-gents-vintage-watch-/183398119150
122,2019-04-22,3064.0,3050.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-15,http://www.ebay.com/itm/rolex-datejust-two-tone-oyster-16013-36mm-mens-watch-jubilee-tapestry-dial-5162-/233196165099
123,2019-04-22,8514.0,8500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice,2019-04-10,http://www.ebay.com/itm/rolex-16753-gmt-master-18k-gold-steel-root-beer-/254195013700
124,2019-04-22,5100.0,5100.0,pre-owned,Mechanical (Automatic),"Stainless Steel, Platinum",Stainless Steel,Rolex Yacht-Master,FixedPrice,2019-04-21,http://www.ebay.com/itm/rolex-yacht-master-16622-stainless-steel-platinum-automatic-mens-watch-/153459253365
125,2019-04-21,5523.0,5500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-02-26,http://www.ebay.com/itm/rolex-submariner-mens-14060-stainless-steel-black-dial-automatic-watch-/312504830474
126,2019-04-21,3500.0,3500.0,pre-owned,NULL,NULL,NULL,Breitling Chronomat Evolution,Auction,2019-04-18,http://www.ebay.com/itm/womens-2005-rolex-yachtmaster-wristwatch-18k-ss-white-dial-/183779998489
127,2019-04-21,7000.0,7000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-21,http://www.ebay.com/itm/rolex-datejust-116234g-wrist-watch-men-/233205272462
128,2019-04-21,8654.0,8550.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-03-25,http://www.ebay.com/itm/rolex-18k-day-date18238-1993-excellent-condition-tight-presidential-band-/401736617371
129,2019-04-21,4850.0,4850.0,pre-owned,NULL,Stainless Steel,NULL,NULL,FixedPrice,2019-04-08,http://www.ebay.com/itm/rolex-explorer-ii-16570-white-polar-gmt-box-and-papers-s-series-1994-/283444573070
130,2019-04-21,7325.0,7250.0,new with tags,Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-01-26,http://www.ebay.com/itm/rolex-datejust-116234g-wrist-watch-2019-/123613167310
131,2019-04-21,3595.0,3595.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-02-20,http://www.ebay.com/itm/rolex-mens-18k-gold-ss-datejust-1625-turn-o-graph-automatic-c-1968-lv369-/264206466324
132,2019-04-21,7251.0,7191.0,pre-owned,NULL,NULL,NULL,SUBMARINER,Auction,2019-04-14,http://www.ebay.com/itm/tudor-rolex-submariner-9411-0-snowflake-1979-/264283550601
133,2019-04-21,3800.0,3800.0,new with tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,2019-04-14,http://www.ebay.com/itm/mens-new-dominos-2018-rolex-md-116000-stainless-box-w-tags-collectable-item-/143215256240
134,2019-04-21,6528.0,6478.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-12,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163646696829
135,2019-04-21,10570.0,10500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,2019-04-21,http://www.ebay.com/itm/unpolished-2016-rolex-116710ln-gmt-master-ii-ceramic-bezel-watch-full-set-/183782926220
