total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
3894,3894,pre-owned,68273,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
4000,4000,pre-owned,178240,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
6800,6800,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
3887,3887,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5700,5700,pre-owned,15037,Automatic,14k Gold,Alligator,Oysterdate,FixedPrice,Good deal
7500,7500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
7800,7800,new with tags,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
8375,8300,pre-owned,18038,Automatic,18k Gold,Leather,President,FixedPrice,Good deal
9500,9500,seller refurbished,16710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,FixedPrice,Bad deal
3080,3050,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
10000,10000,pre-owned,116334,Automatic,18k Gold,Stainless Steel,Datejust,StoreInventory,Bad deal
8400,8400,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Good deal
5250,5200,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Bad deal
5250,5200,new with tags,116900,Automatic,Stainless Steel,Stainless Steel,Air-King,FixedPrice,Good deal
6000,6000,pre-owned,1601,Automatic,Stainless Steel,Two Tone 10k Gold,Datejust,Auction,Bad deal
3265,3265,pre-owned,6517,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
4992,4992,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
9675,9675,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Good deal
3725,3695,pre-owned,14000,Automatic,Stainless Steel,Stainless Steel,Air-King,FixedPrice,Bad deal
3510,3500,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
6200,6200,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3101,3101,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
3350,3350,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,StoreInventory,Bad deal
5250,5200,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Bad deal
7600,7600,pre-owned,16622,Automatic,Platinum,Stainless Steel,Yachmaster,StoreInventory,Bad deal
3400,3400,pre-owned,14000,Automatic,Stainless Steel,Stainless Steel,Air-King,StoreInventory,Good deal
3114,3095,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,FixedPrice,Bad deal
5700,5700,pre-owned,214270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Bad deal
3500,3500,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
3548,3548,pre-owned,69173,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3200,3200,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
9800,9800,pre-owned,126300,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
7216,7188,pre-owned,6305,Automatic,18k Gold,Leather,Oysterdate,Auction,Bad deal
7101,7101,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
10415,10400,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
7090,7090,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
6500,6500,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Bad deal
6794,6794,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
3383,3383,pre-owned,6305,Automatic,18k Gold,Leather,Oysterdate,Auction,Bad deal
3374,3374,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
6250,6250,pre-owned,16800,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
5199,5199,seller refurbished,1601,Automatic,Stainless Steel,Leather,Datejust,FixedPrice,Bad deal
5500,5500,pre-owned,18239,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
8500,8500,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
7000,7000,pre-owned,16803,Automatic,18k Gold,18k Gold,Submariner,StoreInventory,Good deal
5499,5499,pre-owned,15003,Automatic,18k Gold,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
5500,5500,pre-owned,18038,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
8895,8895,new with tags,126334,Automatic,18k Gold,Stainless Steel,Datejust,StoreInventory,Bad deal
8550,8500,pre-owned,16713,Automatic,Stainless Steel,18k Gold,GMT-Master,StoreInventory,Bad deal
5350,5350,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,StoreInventory,Good deal
6000,6000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
3000,3000,pre-owned,69173,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
11016,10988,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
4999,4999,pre-owned,16013,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
4950,4950,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
6250,6250,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
9400,9400,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
7999,7999,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,FixedPrice,Bad deal
5300,5300,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
4555,4555,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
5192,5192,pre-owned,114270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Bad deal
4899,4899,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
3820,3800,pre-owned,69173,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
7992,7992,pre-owned,6517,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
9200,9200,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Bad deal
9500,9500,pre-owned,16622,Automatic,Platinum,Platinum,Yachmaster,FixedPrice,Bad deal
3500,3500,pre-owned,1625,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Good deal
7000,7000,pre-owned,116334,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
5800,5800,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
11063,11000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
10738,10688,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
5049,5049,pre-owned,1500,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
4250,4250,pre-owned,114270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Good deal
6195,6195,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
8750,8750,new with tags,168622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,StoreInventory,Bad deal
