total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
10694,10694,pre-owned,16700,Automatic,Stainless Steel,Stainless Steel,GMT-Master,FixedPrice,Bad deal
6000,6000,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
10500,10500,pre-owned,126331,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
8790,8750,pre-owned,116622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Good deal
4950,4950,new with tags,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,Auction,Good deal
7301,7251,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
4000,4000,pre-owned,169622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Good deal
9350,9350,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Good deal
4880,4750,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
6500,6500,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,FixedPrice,Good deal
8900,8900,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Bad deal
4520,4500,pre-owned,116000,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Bad deal
4916,4900,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,StoreInventory,Good deal
7899,7899,pre-owned,116334,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
4100,4100,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
8492,8492,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
3540,3540,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
12100,12100,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
3415,3375,pre-owned,6927,Automatic,18k Gold,Leather,Datejust,Auction,Good deal
3600,3600,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
3300,3300,pre-owned,16030,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
6190,6190,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
3485,3485,pre-owned,169622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,StoreInventory,Good deal
4187,4155,pre-owned,116231,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
5000,5000,pre-owned,116200,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
9550,9550,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
5745,5700,pre-owned,18038,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
6093,6093,pre-owned,214270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Bad deal
3747,3730,pre-owned,6517,Automatic,Stainless Steel,Two Tone 14k Gold,Datejust,Auction,Good deal
6500,6500,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
5850,5850,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
4250,4250,pre-owned,116200,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
10600,10600,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Bad deal
5200,5200,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,StoreInventory,Good deal
7000,7000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
5960,5900,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
8390,8350,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Bad deal
8340,8300,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Bad deal
3160,3160,pre-owned,16030,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
6688,6688,pre-owned,15037,Automatic,14k Gold,14k Gold,Datejust,StoreInventory,Good deal
15193,15100,pre-owned,18078,Automatic,18k Gold,18k Gold,President,Auction,Bad deal
3859,3851,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
3500,3500,pre-owned,16013,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
8500,8500,pre-owned,16600,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,Bad deal
8000,8000,pre-owned,16800,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
9825,9800,pre-owned,18238,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
7293,7293,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
9315,9250,pre-owned,69173,Automatic,18k Gold,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
12327,12250,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,FixedPrice,Bad deal
4600,4550,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,Auction,Good deal
3500,3500,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,FixedPrice,Bad deal
6755,6700,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
6579,6500,pre-owned,16622,Automatic,Platinum,Stainless Steel,Yachmaster,Auction,Good deal
5500,5500,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Good deal
8978,8978,pre-owned,126334,Automatic,18k Gold,Stainless Steel,Datejust,FixedPrice,Bad deal
4285,4280,pre-owned,168622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
7594,7594,pre-owned,16803,Automatic,18k Gold,18k Gold,Submariner,FixedPrice,Bad deal
8034,7999,pre-owned,114060,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
6009,6001,pre-owned,16713,Automatic,Stainless Steel,18k Gold,GMT-Master,Auction,Good deal
5021,4993,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
5005,5000,new without tags,116613,Automatic,Stainless Steel,18k Gold,Submariner,FixedPrice,Good deal
6750,6750,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,FixedPrice,Good deal
5500,5500,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Good deal
6150,6100,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
3600,3500,pre-owned,17013,Quartz,Stainless Steel,Silver,Datejust,Auction,Bad deal
6400,6400,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
3250,3250,pre-owned,1601,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,Auction,Bad deal
3650,3650,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,Auction,Bad deal
4373,4361,pre-owned,16234,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
6900,6900,pre-owned,116334,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
4401,4401,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
6950,6900,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
5368,5358,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
6550,6500,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
10100,10100,pre-owned,228235,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
8688,8688,pre-owned,18078,Automatic,18k Gold,18k Gold,President,Auction,Good deal
7900,7900,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
3500,3500,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
7100,7050,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
5500,5500,pre-owned,69173,Automatic,18k Gold,Two Tone 18k Gold,Datejust,Auction,Bad deal
9075,9000,new with tags,6305,Automatic,18k Gold,Leather,Oysterdate,Auction,Bad deal
4520,4500,pre-owned,116400,Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction,Good deal
5019,4999,pre-owned,116400,Automatic,Stainless Steel,Stainless Steel,Milgauss,Auction,Good deal
5600,5600,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,Auction,Good deal
8350,8250,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
2882,2850,pre-owned,1005,Automatic,18k Gold,Leather,Oysterdate,Auction,Good deal
5500,5500,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
4250,4250,manufacturer refurbished,1601,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
8999,8999,pre-owned,18038,Automatic,18k Gold,18k Gold,President,Auction,Good deal
8100,8100,pre-owned,18038,Automatic,18k Gold,18k Gold,President,Auction,Good deal
4060,4060,pre-owned,1601,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,Auction,Bad deal
6150,6100,pre-owned,18038,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
6991,6850,pre-owned,16234,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
8000,8000,pre-owned,16018,Automatic,18k Gold,Leather,Datejust,Auction,Bad deal
5000,5000,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
5040,5040,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,Auction,Bad deal
10153,10153,pre-owned,18038,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
6634,6634,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
5100,5100,pre-owned,1803,Automatic,18k Gold,Leather,President,Auction,Good deal
10199,10199,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Bad deal
6500,6500,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
4649,4649,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
5740,5700,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
4000,4000,manufacturer refurbished,1601,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
3045,3000,manufacturer refurbished,1601,Automatic,18k Gold,Leather,Datejust,Auction,Good deal
3070,3050,pre-owned,116200,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
3509,3500,pre-owned,116613,Automatic,18k Gold,18k Gold,Submariner,Auction,Good deal
4535,4535,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
6600,6600,pre-owned,79163,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,Auction,Bad deal
7863,7855,pre-owned,5513,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
3600,3600,pre-owned,17013,Quartz,Stainless Steel,18k Gold,Datejust,Auction,Bad deal
5096,5096,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
4050,4050,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,StoreInventory,Bad deal
3000,3000,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,StoreInventory,Good deal
9621,9600,new without tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
6334,6295,pre-owned,114060,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
4005,4000,new with tags,76080,Automatic,Stainless Steel,Stainless Steel,Oysterdate,StoreInventory,Bad deal
6060,5995,pre-owned,16800,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
7500,7500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
5495,5495,pre-owned,1500,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
8000,8000,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Bad deal
4995,4995,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
5076,5000,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
11693,11693,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Bad deal
6500,6500,pre-owned,116400GV,Automatic,Stainless Steel,Stainless Steel,Milgauss,FixedPrice,Good deal
3600,3600,pre-owned,68273,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
4555,4550,pre-owned,168622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
5076,5000,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
11693,11693,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Bad deal
7000,7000,pre-owned,16750,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Good deal
3391,3391,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
6500,6500,pre-owned,116400GV,Automatic,Stainless Steel,Stainless Steel,Milgauss,FixedPrice,Good deal
3600,3600,pre-owned,68273,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
4555,4550,pre-owned,168622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
6091,6091,pre-owned,14060,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
4692,4692,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
7350,7350,pre-owned,16713,Automatic,Stainless Steel,18k Gold,GMT-Master,StoreInventory,Good deal
3700,3700,pre-owned,16013,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Good deal
8100,8100,pre-owned,1601,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
7000,7000,pre-owned,16713,Automatic,Stainless Steel,18k Gold,GMT-Master,StoreInventory,Good deal
4723,4400,pre-owned,116900,Automatic,Stainless Steel,Stainless Steel,Air-King,StoreInventory,Good deal
5688,5688,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
7750,7750,new with tags,116400GV,Automatic,Stainless Steel,Stainless Steel,Milgauss,FixedPrice,Bad deal
7100,7100,pre-owned,16613,Automatic,Stainless Steel,18k Gold,Submariner,StoreInventory,Good deal
3895,3895,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
8710,8600,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,Bad deal
4685,4650,new with tags,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,Auction,Good deal
6500,6500,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
9750,9700,pre-owned,1803,Automatic,18k Gold,18k Gold,President,StoreInventory,Bad deal
8400,8400,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Bad deal
3994,3994,pre-owned,16233,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
5500,5500,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Good deal
6600,6600,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,FixedPrice,Good deal
7300,7300,new with tags,126300,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3150,3150,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,Auction,Bad deal
5885,5885,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
8265,8200,manufacturer refurbished,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Bad deal
8265,8200,manufacturer refurbished,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,Auction,Bad deal
7012,7000,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
3249,3200,pre-owned,6517,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
5000,5000,pre-owned,18038,Automatic,18k Gold,18k Gold,President,Auction,Good deal
4870,4870,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
4450,4450,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
6000,6000,pre-owned,18038,Automatic,18k Gold,18k Gold,President,Auction,Good deal
6600,6600,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
7887,7877,pre-owned,16013,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Bad deal
4700,4650,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
8750,8750,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
8495,8495,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
3249,3200,pre-owned,6517,Automatic,18k Gold,18k Gold,Oysterdate,StoreInventory,Good deal
4850,4850,pre-owned,16014,Automatic,18k Gold,Stainless Steel,Datejust,StoreInventory,Bad deal
8514,8495,new with tags,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Good deal
9600,9600,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Bad deal
4515,4500,pre-owned,116200,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
4150,4150,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
5073,4750,pre-owned,116234,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
7031,7001,pre-owned,69173,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3895,3895,pre-owned,68273,Automatic,Stainless Steel,18k Gold,Datejust,StoreInventory,Bad deal
7000,7000,pre-owned,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
6995,6995,pre-owned,116400V,Automatic,Stainless Steel,Stainless Steel,Milgauss,FixedPrice,Bad deal
3795,3795,pre-owned,68273,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
6520,6500,pre-owned,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
10021,10000,new without tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
4000,4000,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
5000,5000,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
11000,11000,pre-owned,18238,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
3600,3600,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5150,5150,pre-owned,16014,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
3985,3985,pre-owned,69174,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5000,5000,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
8495,8495,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
5992,5992,pre-owned,14060,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
3873,3873,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
3000,3000,pre-owned,16234,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
8631,8631,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,Bad deal
3150,3150,pre-owned,16013,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
7565,7500,pre-owned,69628,Automatic,18k Gold,18k Gold,Yachmaster,FixedPrice,Bad deal
6100,6100,pre-owned,69173,Automatic,18k Gold,Two Tone 18k Gold,Datejust,Auction,Bad deal
7500,7500,pre-owned,116334,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5500,5500,pre-owned,116900,Automatic,Stainless Steel,Stainless Steel,Air-King,StoreInventory,Good deal
4851,4851,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,Auction,Good deal
8600,8550,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
3450,3450,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3995,3995,pre-owned,69173,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
3007,3000,pre-owned,16623,Automatic,18k Gold,18k Gold,Yachmaster,FixedPrice,Good deal
7291,7291,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
3450,3450,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3995,3995,pre-owned,69173,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
3007,3000,pre-owned,16623,Automatic,18k Gold,18k Gold,Yachmaster,FixedPrice,Good deal
7291,7291,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
3295,3295,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,Auction,Bad deal
4300,4300,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,Auction,Good deal
6545,6500,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
3380,3380,new with tags,179174,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
4495,4475,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
4900,4900,pre-owned,69173,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
9100,9000,pre-owned,18038,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
7950,7950,new with tags,178274,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
9020,8999,pre-owned,1803,Automatic,18k Gold,18k Gold,President,StoreInventory,Bad deal
3295,3295,pre-owned,79240,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
10995,10995,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
5800,5800,pre-owned,16550,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
7533,7533,pre-owned,6426,Automatic,Stainless Steel,Leather,Oysterdate,Auction,Bad deal
9500,9400,pre-owned,18038,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3189,3189,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
5785,5750,pre-owned,1803,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
9500,9500,pre-owned,18038,Automatic,18k Gold,18k Gold,President,StoreInventory,Bad deal
5500,5400,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
3119,3099,pre-owned,1005,Automatic,18k Gold,Leather,Oysterdate,StoreInventory,Good deal
11993,11993,pre-owned,178383,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
11993,11993,pre-owned,178383,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
3080,3080,pre-owned,69173,Automatic,18k Gold,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
8550,8500,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
9000,9000,pre-owned,18038,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
6475,6450,pre-owned,16600,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,Auction,Good deal
4594,4594,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Good deal
11350,11350,pre-owned,6827,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
5000,5000,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
5750,5750,pre-owned,16570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,StoreInventory,Bad deal
3151,3131,seller refurbished,68273,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Good deal
3500,3475,pre-owned,179174,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
11192,11192,pre-owned,116613,Automatic,18k Gold,18k Gold,Submariner,FixedPrice,Bad deal
4600,4600,pre-owned,69173,Automatic,Stainless Steel,Two Tone 10k Gold,Datejust,FixedPrice,Bad deal
4400,4400,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
4750,4750,pre-owned,78243,Automatic,18k Gold,Two Tone 18k Gold,Datejust,StoreInventory,Bad deal
4694,4694,pre-owned,14270,Automatic,Stainless Steel,Stainless Steel,Explorer,FixedPrice,Bad deal
7650,7650,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
3990,3990,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
2616,2600,pre-owned,1601,Automatic,Silver,Stainless Steel,Datejust,Auction,Good deal
5100,5100,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,StoreInventory,Bad deal
5100,5100,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,StoreInventory,Bad deal
11495,11495,new with tags,116334,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
7946,7946,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,FixedPrice,Good deal
6883,6850,pre-owned,1601,Automatic,18k Gold,Leather,Datejust,FixedPrice,Bad deal
4550,4550,pre-owned,6305,Automatic,18k Gold,Leather,Oysterdate,Auction,Bad deal
5900,5900,pre-owned,1601,Automatic,18k Gold,Two Tone 18k Gold,Oysterdate,FixedPrice,Bad deal
3750,3750,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Good deal
3250,3250,pre-owned,16220,Automatic,Silver,Stainless Steel,Datejust,Auction,Good deal
7100,7100,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
5700,5700,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
8550,8500,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
9330,9300,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Bad deal
8500,8500,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Bad deal
4815,4750,pre-owned,68273,Automatic,Stainless Steel,18k Gold,Datejust,FixedPrice,Bad deal
6500,6500,pre-owned,116200,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3000,3000,pre-owned,6694,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
10995,10995,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
8999,8999,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
7985,7985,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
9200,9200,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Good deal
