total,price,condition,MPN,movement,case material,band material,model,listingType,url
8100,8100,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-watch-oyster-date-submariner-black-dial-stainless-16610-2-yr-warranty-/293035410516
7395,7395,new with tags,"$7,350 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,http://www.ebay.com/itm/brand-new-rolex-126300-datejust-41mm-white-dial-jubilee-band-box-papers-/273798083722
5792,5792,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/papers-random-serial-rolex-milgauss-116400-stainless-steel-black-watch-and-box-/273705460275
5596,5500,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-39-black-114300-/183762460249
6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/1991-40mm-rolex-submariner-16610-stainless-steel-automatic-mens-watch-/153444151452
9848,9800,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-datejust-1601-18kt-rose-gold-vintage-watch-genuine-rivet-gold-bracelet-/312553776783
8893,8893,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice,http://www.ebay.com/itm/mint-rolex-sea-dweller-deepsea-116660-stainless-44mm-black-ceramic-dive-watch-/303034904545
6300,6300,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-president-ladies-yellow-gold-26mm-watch-69178-w-mop-diamond-dial-bezel-/254038653663
3850,3850,pre-owned,67194,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-yachtmaster-169622-ss-w-platinum-w-box-papers-/202648765215
8100,8100,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-216570-stainless-steel-case-and-bezel-w-white-dial-42mm-/183760280650
7050,7000,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-216570-orange-gmt-date-stainless-steel-watch-white-dial-/254193248871
5700,5700,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-date-16610-stainless-steel-sel-pre-ceramic-black-40mm-watch-n8-/264276860011
3400,3400,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-mens-2tone-14k-gold-stainless-steel-jubilee-w-black-diamond-dial-/123701773682
7750,7750,pre-owned,15037,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory,http://www.ebay.com/itm/rolex-date-mens-14k-yellow-gold-vintage-mens-watch-15017-/254179294321
4445,4445,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-date-34-auto-steel-mens-oyster-bracelet-watch-115210-/113428071534
5600,5600,pre-owned,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,FixedPrice,http://www.ebay.com/itm/mint-rolex-steel-datejust-ii-41mm-116300-box-warranty-card-2016-model-/113713522214
9121,9100,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-new-wow-/273790197178
6000,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-watch-black-dial-bezel-no-holes-16610t-/323772478995
9103,9103,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Stainless Steel,GMT-MASTER,Auction,http://www.ebay.com/itm/rolex-gmt-master-w-pepsi-bezel-1675-c-1977-fits-8-wrist-/233189107256
6850,6850,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,http://www.ebay.com/itm/rolex-116660-sea-dweller-deep-sea-ceramic-mens-44mm-watch-b-ps-/173866992728
3994,3994,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/ladies-rolex-datejust-6917-26mm-18k-solid-yellow-gold-oyster-watch-president-/273751742122
3025,3000,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-air-king-blue-14000m-2006-2007-/183761883141
4095,4050,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Leather,Rolex Datejust,Auction,http://www.ebay.com/itm/1970-rolex-1603-datejust-stainless-steel-black-dial-engine-turned-bezel-no-res-/312551217785
6746,6725,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-mens-submariner-black-dial-stainless-steel-rotating-bezel-very-nice-/273788733660
6652,6652,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction,http://www.ebay.com/itm/two-tone-rolex-submariner-steel-18k-gold-black-dial-ref-16613-watch-/401739384440
6000,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-watch-black-dial-bezel-no-holes-16610t-/223468139647
2580,2550,pre-owned,67193,Automatic,"Solid Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Lady-Datejust,Auction,http://www.ebay.com/itm/original-18ct-gold-ladies-rolex-watch-rolex-oyster-perpetual-wristwatch-c1969-/254185329010
4900,4900,pre-owned,69173,Mechanical (Automatic),Stainless and 18k Gold,"Solid Gold and Stainless Steel, Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-ladies-18k-two-tone-oyster-perpetual-datejust-watch-26mm-/333130279192
7600,7600,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-16613-18k-yellow-gold-two-tone-black-dial-watch-e-serial-/233180452108
10493,10493,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/brand-new-unused-rolex-submariner-date-116610-ln-40mm-stainless-black-ceramic-/264261654111
9300,9300,pre-owned,1680,Mechanical (Automatic),"Stainless Steel, Sapphire","Stainless Steel, Leather, Plastic, Yellow Gold, Canvas, Fabric, Wood",Rolex Submariner,Auction,http://www.ebay.com/itm/vintage-men-s-rolex-submariner-1680-nice-patina-runs-perfect-1978-aged-dial-rare-/223467705975
6393,6393,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/2003-unpolished-rolex-submariner-no-date-14060-m-stainless-black-dive-40mm-watch-/153399018705
3420,3390,pre-owned,16013,Mechanical: Automatic,Stainless Steel,Genuine Rolex Clasp,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-18k-sapphire-blue-roman-dial-sapphire-36mm-mens-16013-2522-/173866427080
4200,4200,pre-owned,Rolex Mens Datejust,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-36mm-white-gold-ss-steel-jubilee-dial-band-papers-/183766056696
3521,3500,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Oyster,68273,Auction,http://www.ebay.com/itm/rolex-mens-stainless-steel-datejust-31mm-/192881668152
6000,6000,pre-owned,6567,Mechanical (Automatic),Gold,Solid Gold,OYSTER PERPETUAL,FixedPrice,http://www.ebay.com/itm/14k-solid-gold-vintage-rolex-oyster-perpetual-date-roman-s-white-dial-/263933256547
5901,5901,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,http://www.ebay.com/itm/estate-rolex-day-date-president-18k-gold-36mm-diamond-dial-diamond-bezel-/352631766802
7150,7150,pre-owned,116234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-auto-36mm-steel-everose-gold-mens-oyster-bracelet-watch-116201-/283400793553
7150,7150,pre-owned,116234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-auto-36mm-steel-everose-gold-mens-oyster-bracelet-watch-116201-/283400793553
2568,2529,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-1603-datejust-silver-engine-turned-oyster-steel-jubilee-vintage-1973-/223468963697
4000,4000,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-36mm-datejust-solid-18k-yellow-gold-watch-dark-champagne-dial-1601-/303067385728
3950,3950,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/vintage-rolex-datejust-36mm-1601-18k-white-gold-steel-matte-white-dial-w-box-/263867296326
8250,8250,pre-owned,16623,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/mens-engraved-rolex-yacht-master-16623-slate-40mm-18k-two-tone-gold-steel-watch-/273359899435
7600,7600,pre-owned,16700,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,StoreInventory,http://www.ebay.com/itm/1991-rolex-gmt-master-coke-vintage-black-red-faded-ghost-bezel-watch-16710-/173863397348
7500,7500,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-yacht-master-auto-40mm-steel-yellow-gold-mens-oyster-bracelet-watch-16623-/283302506154
4550,4550,pre-owned,68278,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Lady-Datejust,Auction,http://www.ebay.com/itm/authentic-rolex-31mm-lady-datejust-6827-solid-gold-white-w-diamond-dial-bezel-/113699864875
3500,3500,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,StoreInventory,http://www.ebay.com/itm/mens-rolex-datejust-watch-36mm-oyster-steel-band-custom-black-dial-2-ct-diamond-/323760829430
3993,3993,pre-owned,16013,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/unpolished-rolex-datejust-36mm-two-tone-stainless-16013-champagne-jubilee-watch-/292934743035
9150,9150,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-day-date-president-18k-yellow-gold-bark-finish-mens-36mm-watch-1803-/362608122626
11500,11500,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-16800-circa-1987-new-box-tags-papers-/264271297362
9500,9500,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-mens-36mm-18kt-gold-day-date-president-champagne-face-index-18038-/223455534730
8500,8500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/40mm-submariner-rolex-black-dial-bezel-ref-116610-/333137299837
3182,3182,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction,http://www.ebay.com/itm/men-s-gold-18k-watch-rolex-/183758647668
9754,9739,pre-owned,16013,Mechanical (Automatic),"Gold, Stainless Steel",Solid Gold,Rolex Datejust,Auction,http://www.ebay.com/itm/vintage-rolex-men-s-day-date-presidential-18k-gold-watch-w-diamond-bezel-band-/183753315126
8250,8250,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Gold, Stainless Steel",Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-ss-yellow-gold-blue-dial-16613-/273638885054
6000,6000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice,http://www.ebay.com/itm/mens-rolex-day-date-presidentia-18k-yellow-gold-watch-champagne-dial-brown-18038-/333046959838
3093,3093,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,Auction,http://www.ebay.com/itm/vintage-1978-rolex-datejust-1625-thunderbird-turn-o-graph-18k-mens-wrist-watch-/192874145865
10900,10900,new with tags,126333,Mechanical: Automatic,"Stainless Steel, Silver Index","SS/18K Yellow Gold, White, Silver",Rolex Datejust 41,StoreInventory,http://www.ebay.com/itm/rolex-datejust-41mm-126333-two-tone-steel-gold-oyster-silver-index-dial-watch-/182946085191
11695,11695,new without tags,116622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Yacht-Master,StoreInventory,http://www.ebay.com/itm/new-rolex-yacht-master-40-steel-platinum-watch-rhodium-dial-box-papers-116622-/362610626005
4850,4850,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,Auction,http://www.ebay.com/itm/rolex-16622-yacht-master-platinum-bezel-white-silver-dial-40mm-mens-watch-/143192543763
11001,11001,pre-owned,16610LV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-50th-anniversary-aka-kermit-z-serial-16610lv-w-box-/303117301766
11650,11650,new with tags,126333,Mechanical: Automatic,Stainless Steel,"SS/18K Yellow Gold, White",Rolex Datejust 41,StoreInventory,http://www.ebay.com/itm/rolex-datejust-41mm-126333-two-tone-steel-gold-jubilee-black-index-watch-/273407405277
7400,7400,pre-owned,16013,Mechanical (Automatic),"Stainless Steel, Gold",Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/diamonds-everywhere-rolex-datejust-16013-36mm-18k-gold-two-tone-watch-a9-/283363263032
6845,6800,pre-owned,16660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,http://www.ebay.com/itm/stunning-1984-rolex-16660-sea-dweller-matte-dial-amazing-watch-no-reserve-/312560559443
10179,10150,new with tags,na,Mechanical: Automatic,Stainless Steel,Stainless Steel,126334,StoreInventory,http://www.ebay.com/itm/rolex-datejust-126334-41mm-jubilee-rhodium-dial-18k-white-gold-bezel-watch-new-/183745382063
9545,9500,pre-owned,16660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,http://www.ebay.com/itm/stunning-1984-rolex-16660-sea-dweller-matte-dial-amazing-watch-no-reserve-/293035729660
9100,9100,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller,Auction,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-black-dial-/163621376226
9789,9789,pre-owned,R16700A30B9315,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,Auction,http://www.ebay.com/itm/rolex-gmt-master-ref-16700-box-papers-hangtag-/173854229060
6945,6895,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,http://www.ebay.com/itm/very-excellent-rolex-mens-42mm-stainless-steel-explorer-ii-white-216570-/123712343909
3000,3000,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction,http://www.ebay.com/itm/rolex-datejust-watch-36mm-black-dial-jubilee-band-/303116108387
6600,6600,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-oysterperpetual-date-116610ln-stainlesssteel-black-40mm-/123721434578
6750,6750,pre-owned,6917,Mechanical (Automatic),Stainless Steel,18K / Steel,DateJust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-womens-34-two-tone-2013-/202532481418
9545,9500,pre-owned,16660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,http://www.ebay.com/itm/stunning-1984-rolex-16660-sea-dweller-matte-dial-amazing-watch-no-reserve-/392271045944
4750,4750,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,DateJust,StoreInventory,http://www.ebay.com/itm/rolex-date-36mm-steel-oyster-silver-diamond-dial-diamond-bezel-/332945330809
4199,4199,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction,http://www.ebay.com/itm/rolex-datejust-diamond-black-sapphire-diamond-face-mens-36mm-pristine-condition-/163619839070
4250,4250,pre-owned,16233,Mechanical (Automatic),"Stainless Steel, Gold","Yellow Gold, Stainless Steel",Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-16233-two-tone-mens-watch-wow-look-/254186793047
4188,4188,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-mens-datejust-oyster-perpetual-string-diamond-dial-diamond-bezel-/254150977484
8493,8493,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/mens-rolex-submariner-date-116610-ln-stainless-black-dive-ceramic-40mm-watch-/273771867006
10100,10100,pre-owned,6618,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-oyster-perpetual-stainless-steel-wristwatch-/293024285263
3650,3650,pre-owned,Rolex Authentic Mens Datejust 16013,Original Rolex Caliber 3035,"Solid Gold, Stainless Steel","Original Rolex Jubilee, Solid Gold, Stainless Steel",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-datejust-mens-36mm-mint-/202637260717
9150,9150,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-ceramic-bezel-black-dial-steel-mens-watch-116610-/273791249938
7595,7595,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-mens-18k-white-gold-day-date-president-silver-stick-marker-dial-ref-18039-/253423922473
12000,12000,pre-owned,116523,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Cosmograph Daytona,FixedPrice,http://www.ebay.com/itm/2004-rolex-daytona-116523-18ct-gold-steel-full-boxes-paperwork-/113707020263
5565,5500,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-womens-18k-solid-gold-69178-president-datejust-factory-diamond-dial-mint-/392267431165
5629,5599,new with tags,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King,FixedPrice,http://www.ebay.com/itm/rolex-air-king-116900-40mm-beautiful-brand-new-never-worn-box-papers-tags-/264267704389
4890,4860,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-rhodium-39-mm-/183736695717
4349,4300,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-day-date-1807-president-solid-18k-gold-36mm-men-s-watch-bark-/283437682610
4500,4500,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Silicone/Rubber,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/mens-gents-stainless-rolex-datejust-white-roman-dial-16264-turnograph-bezel-/263506782753
11050,11000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-50th-anniversary-kermit-16610-/113703414511
11119,11119,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-116610-date-steel-ceramic-automatic-mens-watch-/132944863758
8550,8550,new with tags,126300-BLUSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust 41,FixedPrice,http://www.ebay.com/itm/new-rolex-datejust-steel-automatic-blue-sticks-jubilee-41-mm-watch-126300-blij-/382785694761
3150,3150,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,FixedPrice,http://www.ebay.com/itm/mens-rolex-36mm-datejust-diamond-watch-oyster-steel-band-custom-black-dial-2-ct-/352614963334
6200,6200,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-stainless-steel-no-date-sub-14060-rolex-service-papers-/113690721121
10995,10995,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/brand-new-rolex-submariner-116610-stainless-steel-black-ceramic-box-paper-2018-/283416799762
9050,9050,pre-owned,126334,Mechanical (Automatic),"Stainless Steel, Gold",Stainless Steel,Rolex Datejust 41,StoreInventory,http://www.ebay.com/itm/2018-rolex-datejust-41mm-126334-fluted-bezel-silver-dial-jubilee-w-box-papers-/302956942911
3299,3299,pre-owned,16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/mens-rolex-datejust-wristwatch-36mm-16030-black-diamond-dial-stainless-steel-/163628605556
11600,11600,new with tags,126334,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Datejust 41,StoreInventory,http://www.ebay.com/itm/rolex-datejust-41mm-126334-fluted-bezel-jubilee-bracelet-black-diamond-watch-/362211633054
7600,7500,pre-owned,16628,Mechanical (Automatic),Gold,Yellow Gold,Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-lady-yachtmaster-yellow-gold-champagne-dial-29mm-/283424114983
3887,3887,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-mens-datejust-steel-oyster-diamond-sapphire-bezel-dial-pearl-watch-/264229479564
8400,8400,pre-owned,16623,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",YachtMaster,StoreInventory,http://www.ebay.com/itm/2005-rolex-yacht-master-two-tone-gold-steel-pearl-dial-16623-very-nice-/333139812127
3200,3200,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-womens-datejust-69173-18k-gold-and-diamonds-8-/283409538366
3000,3000,pre-owned,69173,Automatic,Stainless Steel,18K Yellow Gold & Stainless Steel,Oyster Perpetual Datejust,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-69173-ladies-watch-original-papers-/362475199523
3038,3038,pre-owned,1601,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-datejust-36mm-midnight-blue-two-tone-strap-serviced-stunning-box-/153428405920
4688,4600,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-ladies-president-69178-factory-diamond-dial-18k-gold-26mm-watch-l-serial-/333125101771
3100,3100,pre-owned,15223/*15200,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Oyster Perpetual,StoreInventory,http://www.ebay.com/itm/rolex-oyster-perpetual-15223-stainless-steel-18k-gold-automatic-watch-34mm-/401679288808
3600,3600,pre-owned,69174,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/womens-rolex-26mm-datejust-string-diamond-face-stainless-steel-jubilee-watch-/112840565189
10694,10694,pre-owned,16700,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,FixedPrice,http://www.ebay.com/itm/vintage-1979-rolex-gmt-master-faded-pepsi-blue-red-16750-matte-jubilee-watch-/153284211351
6000,6000,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-explorer-ii-216570-2017-mens-42mm-steel-oyster-bracelet-pre-owned-/264264554813
10500,10500,pre-owned,126331,Mechanical (Automatic),Stainless Steel,"Everose gold,Stainless Steel",Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-everose-gold-mens-oyster-bracelet-watch-126331-/283367327674
8790,8750,pre-owned,116622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-yachtmaster-116622-40-mm-blue-dial-w-box-/133007404874
5117,5100,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-oyster-perpetual-date-submariner-stainless-steel-16610t-watch-c-2003-2005-/273781463972
4950,4950,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/rolex-white-oyster-perpetual-39mm-/273777096178
7301,7251,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction,http://www.ebay.com/itm/rolex-president-day-date-1803-vintage-18k-yellow-gold-36mm-box-watch-mint-cond-/323751747084
4000,4000,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,http://www.ebay.com/itm/rolex-yachtmaster-29mm-169622-/163626101025
9350,9350,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,Auction,http://www.ebay.com/itm/1971-vintage-rolex-gmt-master-model-1675-1570-movement-and-jubilee-band-/323745589599
4880,4750,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-watch-model-16610-40mm-case-size-rolex-oyster-bracelet-/223457014647
6500,6500,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-watch-mens-40mm-submariner-18k-gold-and-steel-black-face-16613-/163624529362
8900,8900,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-16613-t-40mm-18k-yellow-gold-steel-factory-diamond-dial-f-/401591994499
4520,4500,pre-owned,116000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-watch-36mm-ref-116000-like-new-condition-/283435348894
4916,4900,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,http://www.ebay.com/itm/rolex-oyster-perpetual-explorer-ii-white-dial-16570-2000-/192860654412
