,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
49,4/24/2019,8000,8000,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/2/2019,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/392270219783
53,4/24/2019,4576,4500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Datejust,FixedPrice,4/22/2019,http://www.ebay.com/itm/pre-owned-slightly-used-18-men-s-rolex-oyster-perpetual-black-dial-39mm-/143224990607
55,4/24/2019,6500,6500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/21/2019,http://www.ebay.com/itm/rolex-mens-steel-submariner-black-dial-bezel-16610-box-books-/183783127547
57,4/24/2019,7600,7600,pre-owned,Does not apply,Mechanical (Automatic),"Gold, 18k yellow gold",Leather,Rolex President,Auction,4/17/2019,http://www.ebay.com/itm/rolex-vintage-18k-yellow-gold-day-date-1806-morellis-watch-papers-buy-now-/153454573448
60,4/24/2019,8855,8800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,3/25/2019,http://www.ebay.com/itm/mens-rolex-submariner-116610-ceramic-bezel-insert-stainless-steel-g-serial-/264254639255
62,4/24/2019,10600,10600,pre-owned,16013,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,4/23/2019,http://www.ebay.com/itm/rolex-submariner-stainless-gold-blue-ceramic-dial-40mm-perfect-condition-/323787178289
63,4/23/2019,3400,3400,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/23/2019,http://www.ebay.com/itm/rolex-2002-datejust-ladies-18k-gold-stainless-ref-79173-automatic-swiss-watch-/283460371933
66,4/23/2019,5200,5200,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Oyster Perpetual,FixedPrice,4/23/2019,http://www.ebay.com/itm/rolex-stainless-datejust-/254209469837
71,4/23/2019,5500,5500,pre-owned,68273,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2/7/2019,http://www.ebay.com/itm/rolex-datejust-31mm-s-s-jubilee-womens-watch-mop-diamond-dial-diamond-bezel-/254113323705
72,4/23/2019,3400,3400,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice,4/25/2018,http://www.ebay.com/itm/rolex-air-king-114200-oyster-perpetual-no-holes-case-stainless-steel-mens-watch-/132597764542
77,4/23/2019,6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/21/2019,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163659692636
78,4/23/2019,8900,8900,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,1/17/2019,http://www.ebay.com/itm/rolex-submariner-116610-stainless-steel-black-/143094038100
81,4/23/2019,6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/17/2019,http://www.ebay.com/itm/1991-40mm-rolex-submariner-16610-stainless-steel-automatic-mens-watch-/163654239036
83,4/23/2019,11057,11057,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction,4/16/2019,http://www.ebay.com/itm/vintage-1985-rolex-gmt-master-16750-pepsi-patina-gloss-dial-serviced-/264286072011
85,4/23/2019,9000,8950,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/13/2019,http://www.ebay.com/itm/rolex-submariner-116610ln-2015-/113717251582
87,4/23/2019,7395,7395,new with tags,"$7,350 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,4/11/2019,http://www.ebay.com/itm/brand-new-rolex-126300-datejust-41mm-white-dial-jubilee-band-box-papers-/283448614255
91,4/23/2019,3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/22/2019,http://www.ebay.com/itm/rolex-datejust-stainless-steel-men-watch-w-silver-dial-/323786124144
94,4/23/2019,8797,8797,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,4/20/2019,http://www.ebay.com/itm/2018-rolex-submariner-date-116610-ln-stainless-black-dive-ceramic-40mm-watch-box-/303131827426
97,4/23/2019,5800,5800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,4/16/2019,http://www.ebay.com/itm/rolex-69178-ladies-18k-yellow-gold-datejust-president-1-20-carat-diamond-bezel-/273808401965
100,4/23/2019,3245,3200,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,4/13/2019,http://www.ebay.com/itm/1970-rolex-1603-datejust-stainless-steel-black-dial-engine-turned-bezel-no-res-/293046530511
103,4/22/2019,3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,Auction,4/15/2019,http://www.ebay.com/itm/rolex-datejust-16200-silver-dial-2003-excellent-36mm-free-shipping-/333158899159
104,4/22/2019,8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,4/20/2019,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/392280728668
106,4/22/2019,5800,5800,pre-owned,1500,Automatic Self Wind,Yellow Gold,Yellow Gold,Date,StoreInventory,3/23/2019,http://www.ebay.com/itm/rolex-date-vintage-14k-solid-gold-ref-1500-mens-34mm-watch-box-papers-/293019176327
107,4/22/2019,5500,5500,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-216570-explorer-ii-stainless-steel-black-dial-series-max078865-/382745380841
