,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
172,4/21/2019,3894,3894,pre-owned,68273,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Datejust,FixedPrice,4/20/2019,http://www.ebay.com/itm/rolex-datejust-31mm-midsize-two-tone-stainless-gold-68273-black-stick-watch-/273814952285
173,4/21/2019,3125,3080,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,4/7/2019,http://www.ebay.com/itm/stunning-1969-rolex-oyster-perpetual-date-rolex-bracelet-vintage-watch-/173865483310
174,4/21/2019,6016,6000,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,4/2/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-explorer-ii-216570-black-dial-rolex-warranty-2018-/192878120024
176,4/21/2019,3400,3400,pre-owned,Does Not Apply,Mechanical (Hand-winding),Stainless Steel,"Crocodile Skin, Leather",Rolex Oysterdate,StoreInventory,2/20/2019,http://www.ebay.com/itm/rolex-swiss-mens-oysterdate-precision-6694-hand-wind-c-1974-all-original-lv373-/264206466192
179,4/21/2019,4000,4000,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,StoreInventory,4/9/2019,http://www.ebay.com/itm/rolex-datejust-178240-stainless-steel-automatic-watch-31mm-box-paperwork-/401746410905
181,4/21/2019,6800,6800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,4/11/2019,http://www.ebay.com/itm/estate-rolex-ladies-masterpiece-president-18k-gold-datejust-diamond-bezel-/303123241504
182,4/21/2019,3400,3400,seller refurbished,4074,Mechanical (Hand-winding),Gold,Yellow Gold,Rolex Cellini,StoreInventory,4/17/2019,http://www.ebay.com/itm/unisex-vintage-rolex-cellini-18k-yellow-gold-w-gold-dial-/273810753854
185,4/21/2019,3887,3887,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,StoreInventory,4/12/2019,http://www.ebay.com/itm/rolex-mens-datejust-steel-oyster-diamond-sapphire-bezel-dial-pearl-watch-/254197951596
187,4/20/2019,5700,5700,pre-owned,15037,Mechanical (Automatic),14K Yellow GOld,Alligator,15037 ROlex 14K Oyster Perpetual Date,FixedPrice,1/13/2018,http://www.ebay.com/itm/rolex-oyster-perpetual-date-14k-yellow-gold-15037-34mm-circa-1980-watch-/282808471893
188,4/20/2019,7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/10/2019,http://www.ebay.com/itm/rolex-submariner-no-date-114060-black-dial-ceramic-steel-w-b-p-2015-mens-watch-/113630488586
189,4/20/2019,7250,7250,pre-owned,116613LB,Automatic,"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Submariner,StoreInventory,4/4/2019,http://www.ebay.com/itm/mens-rolex-datejust-36mm-two-tone-diamond-watch-app-9-5-carats-si1-vs2-diamonds-/163634170942
193,4/20/2019,7800,7800,new with tags,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,StoreInventory,4/8/2019,http://www.ebay.com/itm/rolex-datejust-36mm-black-dial-steel-rose-gold-watch-116231-jubilee-band-/273798749799
197,4/20/2019,8375,8300,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice,4/6/2019,http://www.ebay.com/itm/rolex-18k-yellow-gold-president-quartz-36mm-day-date-/133015126634
200,4/20/2019,9500,9500,seller refurbished,16710,Automatic Self Wind,Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice,3/2/2019,http://www.ebay.com/itm/rolex-stainless-steel-gmt-master-ii-pepsi-40mm-16710-box-warranty-minty-/283401246572
201,4/20/2019,5775,5750,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/13/2019,http://www.ebay.com/itm/new-rolex-oyster-perpetual-date-34-mm-silver-dial-watch-115234-2018-unworn-7450-/163648577113
204,4/20/2019,3080,3050,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,4/13/2019,http://www.ebay.com/itm/tudor-submariner-75090-serviced-rolex-crown-caseback-/264281824340
205,4/20/2019,5685,5650,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory,3/5/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/113675012024
207,4/20/2019,10000,10000,pre-owned,116334,Mechanical (Automatic),Stainless Steel with 18k White Gold Bezel,Stainless Steel,Datejust II,StoreInventory,10/31/2018,http://www.ebay.com/itm/a8-rolex-mens-41mm-chocolate-face-datejust-18k-everose-gold-stainless-steel-box-/312288651301
208,4/20/2019,8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,4/6/2019,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/401744635103
209,4/20/2019,5293,5293,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,4/9/2019,http://www.ebay.com/itm/swiss-only-dial-rolex-explorer-ii-16570-stainless-steel-white-polar-date-gmt-/273800137329
211,4/20/2019,5750,5750,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,StoreInventory,1/4/2019,http://www.ebay.com/itm/rolex-submariner-14060-stainless-steel-black-dial-automatic-watch-40mm-/392207705231
215,4/20/2019,5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,4/20/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/392280489513
216,4/20/2019,5250,5200,new with tags,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,4/20/2019,http://www.ebay.com/itm/rolex-watch-mens-air-king-116900-stainless-steel-black-dial-40mm-oyster-band-/143221965589
217,4/20/2019,6000,6000,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction,4/13/2019,http://www.ebay.com/itm/men-s-14k-yellow-gold-rolex-date-ref-15037-1986-minty-/293045960397
219,4/20/2019,3265,3265,pre-owned,6517,Mechanical (Automatic),"Solid Gold, Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,4/20/2019,http://www.ebay.com/itm/rolex-16233-oyster-perpetual-datejust-jubilee-band-18k-gold-ss-diamond-bezel-/223488635500
